id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21700497,Minnesota,LA Lakers,240,121,104,1,3IN4
21700498,Indiana,Detroit,240,83,107,2,3+
21700499,Toronto,Dallas,240,93,98,2,2
21700500,Orlando,Miami,240,89,107,2,2
21700501,Chicago,Milwaukee,240,115,106,2,2
21700502,Brooklyn,San Antonio,240,97,109,2,2
21700503,Utah,Denver,240,83,107,2,2
21700504,Memphis,Phoenix,240,97,99,2,2
21700505,Sacramento,LA Clippers,240,95,122,2,2
21700506,Boston,Charlotte,240,102,91,1,3+
21700507,Dallas,Indiana,240,98,94,B2B,B2B
21700508,Washington,Atlanta,240,99,113,1,3+
21700509,New York,Chicago,240,87,92,1,B2B
21700510,Denver,Minnesota,265,125,128,B2B,1
21700511,Brooklyn,New Orleans,240,113,128,B2B,3+
21700512,Toronto,Oklahoma City,240,107,124,B2B,1
21700513,Cleveland,Sacramento,240,95,109,1,B2B
21700514,Utah,Golden State,240,101,126,B2B,1
21700515,Memphis,LA Lakers,240,109,99,B2B,1
21700516,Detroit,Orlando,240,89,102,1,1
21700517,Houston,Boston,240,98,99,2,3IN4-B2B
21700518,Minnesota,Milwaukee,240,96,102,3IN4-B2B,1
21700519,New York,San Antonio,240,107,119,3IN4-B2B,1
21700520,Philadelphia,Portland,240,110,114,2,3+
21700521,Houston,Washington,240,103,121,B2B,1
21700522,Atlanta,Toronto,240,98,111,1,3IN4
21700523,Brooklyn,Miami,240,111,87,3IN4,2
21700524,Indiana,Chicago,240,107,119,3IN4,3IN4
21700525,Dallas,New Orleans,240,128,120,3IN4,1
21700526,Milwaukee,Oklahoma City,240,97,95,3IN4-B2B,1
21700527,Phoenix,Sacramento,240,111,101,2,3IN4
21700528,Charlotte,Golden State,240,111,100,1,1
21700529,LA Clippers,LA Lakers,240,121,106,2,1
21700530,San Antonio,Detroit,240,79,93,1,1
21700531,Miami,Orlando,240,117,111,B2B,1
21700532,New York,New Orleans,240,105,103,3IN4,3IN4-B2B
21700533,Portland,Atlanta,240,89,104,1,3IN4-B2B
21700534,Cleveland,Utah,240,101,104,2,2
21700535,Memphis,Golden State,240,128,141,2,3IN4-B2B
21700536,Philadelphia,Denver,240,107,102,1,2
21700537,Chicago,Washington,240,110,114,1,1
21700538,Minnesota,Indiana,240,107,90,2,1
21700539,Brooklyn,Boston,240,105,108,1,2
21700540,LA Lakers,Houston,290,142,148,1,3IN4
21700541,Dallas,Oklahoma City,240,116,113,1,1
21700542,Charlotte,LA Clippers,240,98,106,1,1
21700543,Memphis,Sacramento,240,114,96,B2B,1
21700544,Philadelphia,Phoenix,240,123,110,3IN4-B2B,1
21700545,Orlando,Brooklyn,240,95,98,1,3IN4-B2B
21700546,Milwaukee,Toronto,265,127,131,2,2
21700547,Portland,Chicago,265,124,120,1,3IN4-B2B
21700548,LA Lakers,Minnesota,240,96,114,3IN4-B2B,B2B
21700549,Portland,Cleveland,240,110,127,3IN4-B2B,2
21700550,San Antonio,New York,240,100,91,2,2
21700551,Atlanta,Phoenix,240,103,104,2,1
21700552,Charlotte,Sacramento,240,131,111,1,1
21700553,Memphis,LA Clippers,240,105,113,3IN4,1
21700554,Houston,Orlando,240,116,98,2,1
21700555,San Antonio,Philadelphia,240,106,112,B2B,2
21700556,New York,Washington,240,103,121,B2B,2
21700557,Minnesota,Brooklyn,240,97,98,3IN4,3IN4
21700558,Detroit,Miami,240,104,111,3+,3+
21700559,Cleveland,Boston,240,88,102,B2B,2
21700560,Toronto,Chicago,240,124,115,1,3IN4
21700561,Indiana,Milwaukee,240,101,122,2,1
21700562,Golden State,Dallas,240,125,122,3+,2
21700563,Phoenix,Denver,240,111,134,3IN4-B2B,3+
21700564,New Orleans,Utah,240,108,98,3+,3+
21700565,Oklahoma City,LA Lakers,240,133,96,2,3IN4
21700566,Golden State,Houston,240,124,114,B2B,B2B
21700567,Oklahoma City,LA Clippers,240,127,117,B2B,1
21700568,New York,Miami,265,103,107,3IN4,1
21700569,Detroit,Philadelphia,240,78,114,1,1
21700570,Minnesota,Boston,240,84,91,1,1
21700571,Toronto,Milwaukee,240,129,110,1,1
21700572,Chicago,Dallas,240,127,124,1,1
21700573,Phoenix,San Antonio,240,89,103,3IN4,3IN4
21700574,Utah,Denver,240,91,99,1,1
21700575,Washington,Memphis,240,102,100,1,2
21700576,Atlanta,Portland,240,89,110,2,2
21700577,Charlotte,LA Lakers,240,108,94,2,1
21700578,Golden State,LA Clippers,240,121,105,3IN4,1
21700579,Boston,Brooklyn,240,87,85,3IN4-B2B,2
21700580,Houston,Detroit,240,101,108,3IN4,3IN4-B2B
21700581,Chicago,Indiana,240,86,125,3IN4-B2B,2
21700582,Cleveland,Orlando,240,131,127,2,2
21700583,Milwaukee,Washington,240,110,103,3IN4-B2B,3IN4-B2B
21700584,New Orleans,Minnesota,240,98,116,2,3IN4-B2B
21700585,Denver,Sacramento,240,98,106,3IN4-B2B,3+
21700586,Utah,Miami,240,102,103,1,1
21700587,New York,Dallas,240,100,96,1,1
21700588,Oklahoma City,Phoenix,240,100,114,2,1
21700589,San Antonio,Portland,240,110,111,1,1
21700590,Atlanta,LA Lakers,240,113,132,1,1
21700591,Milwaukee,Indiana,240,96,109,3IN4,1
21700592,Toronto,Brooklyn,265,114,113,2,1
21700593,Houston,Chicago,240,116,107,1,3IN4
21700594,Cleveland,Minnesota,240,99,127,1,3IN4
21700595,Detroit,New Orleans,240,109,112,3IN4,1
21700596,San Antonio,Sacramento,240,107,100,3IN4-B2B,1
21700597,Denver,Golden State,240,114,124,3IN4,1
21700598,Atlanta,LA Clippers,240,107,108,3IN4-B2B,1
21700599,Miami,Toronto,240,90,89,1,B2B
21700600,Portland,Oklahoma City,240,117,106,1,1
21700601,Orlando,Dallas,240,99,114,2,1
21700602,Sacramento,LA Lakers,240,86,99,3IN4-B2B,1
21700603,Dallas,Charlotte,240,115,111,3IN4-B2B,3+
21700604,Miami,Indiana,240,114,106,3IN4-B2B,1
21700605,Utah,Washington,240,107,104,2,3+
21700606,Detroit,Brooklyn,240,114,80,1,1
21700607,Chicago,New York,290,122,119,1,2
21700608,Portland,Houston,240,112,121,3IN4-B2B,1
21700609,New Orleans,Memphis,240,102,105,1,3+
21700610,Orlando,Milwaukee,240,103,110,B2B,1
21700611,Oklahoma City,Minnesota,240,88,104,3IN4-B2B,1
21700612,Atlanta,Denver,240,110,97,3IN4,1
21700613,LA Clippers,Golden State,240,125,106,1,1
21700614,Boston,Philadelphia,240,114,103,3+,3+
21700615,Cleveland,Toronto,240,99,133,2,3IN4
21700616,LA Clippers,Sacramento,240,121,115,3IN4-B2B,3IN4
21700617,San Antonio,LA Lakers,240,81,93,2,1
21700618,Utah,Charlotte,240,88,99,1,1
21700619,Cleveland,Indiana,240,95,97,B2B,1
21700620,Orlando,Washington,240,119,125,3IN4,1
21700621,Brooklyn,Atlanta,240,110,105,1,1
21700622,Golden State,Milwaukee,240,108,94,1,1
21700623,New York,Minnesota,240,108,118,1,1
21700624,Portland,New Orleans,240,113,119,3IN4,1
21700625,Memphis,Denver,240,78,87,1,1
21700626,Houston,Phoenix,240,112,95,1,3+
21700627,LA Lakers,Dallas,265,107,101,1,2
21700628,Sacramento,LA Clippers,240,105,126,1,3IN4
21700629,Oklahoma City,Charlotte,240,101,91,2,3IN4-B2B
21700630,Brooklyn,Washington,265,113,119,3IN4-B2B,3IN4-B2B
21700631,Golden State,Toronto,240,127,125,3IN4-B2B,1
21700632,Detroit,Chicago,240,105,107,2,2
21700633,Denver,San Antonio,240,80,112,3IN4-B2B,1
21700634,Milwaukee,Miami,240,79,97,1,3+
21700635,New Orleans,New York,265,123,118,1,1
21700636,Indiana,Phoenix,240,120,97,1,1
21700637,Portland,Minnesota,240,103,120,1,1
21700638,Charlotte,Detroit,240,118,107,3IN4,1
21700639,Toronto,Philadelphia,240,111,117,1,3+
21700640,Milwaukee,Washington,240,104,95,3IN4-B2B,3IN4
21700641,San Antonio,Atlanta,240,99,102,1,2
21700642,New York,Brooklyn,240,119,104,3IN4-B2B,3IN4
21700643,Sacramento,Oklahoma City,240,88,95,1,1
21700644,Miami,Chicago,240,111,119,B2B,1
21700645,LA Lakers,Memphis,240,114,123,1,2
21700646,Golden State,Cleveland,240,118,108,3IN4,2
21700647,Indiana,Utah,240,109,94,3IN4-B2B,2
21700648,Houston,LA Clippers,240,102,113,2,1
21700649,Minnesota,Orlando,240,102,108,1,3+
21700650,New Orleans,Boston,265,116,113,1,3+
21700651,Dallas,Denver,240,102,105,2,2
21700652,Phoenix,Portland,240,111,118,1,1
21700653,Washington,Charlotte,240,109,133,1,1
21700654,New Orleans,Atlanta,240,93,94,3IN4-B2B,1
21700655,San Antonio,Brooklyn,240,100,95,1,1
21700656,Detroit,Toronto,240,91,96,1,1
21700657,Golden State,Chicago,240,119,112,1,1
21700658,New York,Memphis,240,99,105,3IN4,1
21700659,Miami,Milwaukee,240,106,101,3IN4,3IN4
21700660,LA Lakers,Oklahoma City,240,90,114,1,1
21700661,Utah,Sacramento,240,120,105,1,1
21700662,Denver,LA Clippers,240,104,109,B2B,1
21700663,Philadelphia,Boston,240,89,80,2,1
21700664,Orlando,Cleveland,240,103,104,1,2
21700665,Minnesota,Houston,240,98,116,1,2
21700666,Indiana,Portland,240,86,100,2,1
21700667,San Antonio,Toronto,240,83,86,1,1
21700668,Miami,Brooklyn,240,95,101,1,1
21700669,Washington,Detroit,240,122,112,1,1
21700670,Sacramento,Memphis,240,88,106,1,1
21700671,Phoenix,Denver,240,108,100,2,3IN4
21700672,New York,Utah,240,117,115,1,1
21700673,Indiana,LA Lakers,240,86,99,B2B,1
21700674,Oklahoma City,Cleveland,240,148,124,2,1
21700675,Chicago,Atlanta,240,113,97,2,2
21700676,Miami,Charlotte,240,106,105,3IN4-B2B,2
21700677,Memphis,New Orleans,240,104,111,3IN4-B2B,2
21700678,Milwaukee,Philadelphia,240,94,116,2,1
21700679,Golden State,Houston,240,108,116,2,1
21700680,Toronto,Minnesota,240,109,115,3IN4-B2B,1
21700681,LA Clippers,Utah,240,113,125,2,3IN4-B2B
21700682,Dallas,Portland,240,108,117,3+,1
21700683,Orlando,Boston,240,103,95,2,2
21700684,New York,LA Lakers,240,107,127,1,1
21700685,Brooklyn,Detroit,240,101,100,1,1
21700686,Indiana,San Antonio,240,94,86,3IN4,1
21700687,Sacramento,Charlotte,240,107,112,2,1
21700688,Utah,Atlanta,240,90,104,3IN4,1
21700689,Miami,Houston,240,90,99,3IN4,1
21700690,Philadelphia,Memphis,240,101,105,1,3IN4
21700691,Phoenix,Milwaukee,240,105,109,2,1
21700692,Chicago,New Orleans,290,128,132,1,1
21700693,Washington,Dallas,240,75,98,2,1
21700694,Portland,Denver,240,101,104,1,2
21700695,Minnesota,LA Clippers,240,126,118,1,1
21700696,Sacramento,Orlando,240,105,99,B2B,1
21700697,Brooklyn,Oklahoma City,240,108,109,1,2
21700698,Cleveland,San Antonio,240,102,114,2,1
21700699,New York,Golden State,240,112,123,1,2
21700700,Boston,LA Lakers,240,107,108,1,1
21700701,New Orleans,Charlotte,240,101,96,1,1
21700702,Utah,Detroit,265,98,95,1,2
21700703,Phoenix,Indiana,240,101,116,1,2
21700704,Chicago,Philadelphia,240,101,115,1,1
21700705,Toronto,Atlanta,240,108,93,3+,1
21700706,Houston,Dallas,240,104,97,1,1
21700707,San Antonio,Memphis,240,108,85,3IN4-B2B,1
21700708,Minnesota,Portland,240,114,123,1,1
21700709,Boston,LA Clippers,240,113,102,3IN4-B2B,1
21700710,Sacramento,Miami,240,89,88,3IN4,2
21700711,Washington,Oklahoma City,240,112,121,2,1
21700712,New York,Denver,240,118,130,1,2
21700713,Minnesota,Golden State,240,113,126,3IN4-B2B,1
21700714,Atlanta,Charlotte,240,110,121,1,1
21700715,Indiana,Cleveland,240,108,115,1,2
21700716,Utah,Toronto,240,97,93,1,1
21700717,LA Lakers,Chicago,240,108,103,2,1
21700718,LA Clippers,Memphis,240,109,100,1,1
21700719,Brooklyn,Milwaukee,240,91,116,2,3+
21700720,Houston,New Orleans,240,113,115,1,1
21700721,Portland,Dallas,240,107,93,1,1
21700722,Philadelphia,San Antonio,240,97,78,1,3IN4
21700723,New York,Phoenix,240,107,85,3IN4-B2B,1
21700724,Oklahoma City,Detroit,240,121,108,1,2
21700725,Orlando,Indiana,240,112,114,3+,3IN4-B2B
21700726,Washington,Atlanta,240,129,104,1,3IN4-B2B
21700727,Charlotte,Miami,240,91,95,3IN4-B2B,1
21700728,Boston,Golden State,240,105,109,2,1
21700729,Brooklyn,Minnesota,240,97,111,B2B,3IN4
21700730,Dallas,Denver,240,89,91,3IN4-B2B,1
21700731,Milwaukee,Chicago,240,110,96,1,1
21700732,Phoenix,Houston,240,102,113,1,1
21700733,LA Clippers,New Orleans,240,112,103,1,1
21700734,Detroit,Cleveland,240,104,121,B2B,1
21700735,LA Lakers,Toronto,240,111,123,1,1
21700736,Philadelphia,Oklahoma City,240,112,122,1,3IN4-B2B
21700737,Sacramento,San Antonio,240,98,113,2,1
21700738,Charlotte,Indiana,240,96,105,3IN4,3IN4
21700739,Minnesota,Atlanta,240,100,105,1,3IN4
21700740,Phoenix,Memphis,240,109,120,3IN4-B2B,2
21700741,Philadelphia,Milwaukee,240,95,107,3IN4-B2B,3IN4-B2B
21700742,Miami,Dallas,240,95,88,1,3IN4
21700743,Boston,Denver,240,111,110,1,1
21700744,Oklahoma City,Washington,240,96,102,3IN4,2
21700745,Brooklyn,New York,240,95,111,2,3+
21700746,Minnesota,Toronto,240,104,109,3IN4-B2B,1
21700747,Cleveland,Detroit,240,114,125,1,3IN4
21700748,Orlando,Houston,240,107,114,2,1
21700749,Sacramento,New Orleans,240,114,103,1,1
21700750,Denver,San Antonio,240,104,106,3IN4-B2B,1
21700751,Golden State,Utah,240,99,129,2,3+
21700752,Portland,LA Clippers,240,104,96,3+,1
21700753,Memphis,Indiana,240,101,105,1,1
21700754,LA Lakers,Orlando,240,105,127,2,B2B
21700755,Charlotte,Atlanta,240,123,110,1,1
21700756,Philadelphia,Brooklyn,240,108,116,3IN4,B2B
21700757,Miami,Cleveland,240,89,91,1,3IN4-B2B
21700758,New York,Boston,240,73,103,B2B,1
21700759,Chicago,Portland,240,108,124,2,B2B
21700760,Dallas,Phoenix,240,88,102,1,3IN4
21700761,Memphis,Detroit,240,102,104,3IN4-B2B,1
21700762,Toronto,Washington,240,119,122,1,1
21700763,Milwaukee,Minnesota,240,89,108,2,3IN4
21700764,Houston,San Antonio,240,102,91,1,1
21700765,Oklahoma City,Denver,240,124,127,1,3IN4
21700766,Indiana,Charlotte,240,126,133,1,1
21700767,Atlanta,Boston,240,110,119,1,1
21700768,LA Lakers,Brooklyn,240,102,99,1,3IN4
21700769,Portland,Toronto,240,105,130,3IN4,3IN4-B2B
21700770,Miami,Philadelphia,240,97,103,1,1
21700771,New York,Milwaukee,240,90,92,3IN4,B2B
21700772,New Orleans,Oklahoma City,240,114,100,2,3IN4-B2B
21700773,Utah,Phoenix,240,129,97,2,1
21700774,Golden State,Sacramento,240,119,104,2,2
21700775,Chicago,LA Clippers,240,103,113,2,3+
21700776,Miami,Detroit,240,107,111,3IN4-B2B,1
21700777,Philadelphia,Indiana,240,92,100,3IN4-B2B,3IN4-B2B
21700778,Washington,Orlando,240,115,98,1,2
21700779,Houston,Cleveland,240,120,88,1,2
21700780,New Orleans,Minnesota,240,107,118,B2B,1
21700781,Utah,San Antonio,240,120,111,B2B,1
21700782,Golden State,Denver,240,108,115,B2B,1
21700783,Dallas,Sacramento,240,106,99,2,B2B
21700784,Portland,Boston,240,96,97,1,1
21700785,Milwaukee,Brooklyn,240,109,94,3IN4,1
21700786,Atlanta,New York,240,99,96,1,1
21700787,Memphis,Toronto,240,86,101,2,3IN4
21700788,LA Lakers,Oklahoma City,240,108,104,1,3IN4
21700789,Charlotte,Phoenix,240,115,110,1,1
21700790,Portland,Detroit,240,91,111,3IN4-B2B,1
21700791,Washington,Indiana,240,111,102,1,3IN4
21700792,Orlando,Miami,240,111,109,1,3IN4
21700793,Utah,New Orleans,240,133,109,3IN4,3IN4
21700794,Charlotte,Denver,240,104,121,3IN4-B2B,1
21700795,Chicago,Sacramento,240,98,104,1,3IN4
21700796,Dallas,LA Clippers,240,101,104,1,1
21700797,Cleveland,Orlando,240,98,116,2,3IN4-B2B
21700798,Boston,Toronto,240,91,111,1,1
21700799,Memphis,Atlanta,240,82,108,1,1
21700800,Houston,Brooklyn,240,123,113,2,1
21700801,Milwaukee,New York,240,103,89,1,1
21700802,Washington,Philadelphia,240,102,115,3IN4-B2B,2
21700803,Oklahoma City,Golden State,240,125,105,1,2
21700804,Phoenix,LA Lakers,240,93,112,1,1
21700805,Brooklyn,Detroit,240,106,115,3IN4-B2B,1
21700806,Houston,Miami,240,109,101,B2B,1
21700807,Minnesota,Cleveland,265,138,140,3+,B2B
21700808,Utah,Memphis,240,92,88,1,3IN4-B2B
21700810,San Antonio,Phoenix,240,129,81,3+,3IN4-B2B
21700811,Atlanta,Orlando,240,98,100,1,3IN4
21700812,New York,Toronto,240,88,113,1,1
21700813,Boston,Washington,265,110,104,1,3IN4
21700814,Charlotte,Portland,265,103,109,2,2
21700815,Dallas,Golden State,240,103,121,2,1
21700816,Oklahoma City,LA Lakers,240,81,106,1,1
21700817,LA Clippers,Detroit,240,108,95,3+,1
21700818,New Orleans,Philadelphia,240,82,100,3+,2
21700819,Cleveland,Atlanta,240,123,107,3IN4,3IN4-B2B
21700820,Indiana,Boston,240,97,91,3+,3IN4-B2B
21700821,Milwaukee,Miami,240,85,91,2,1
21700822,Minnesota,Chicago,240,113,114,1,3+
21700823,Denver,Houston,240,104,130,3+,3IN4
21700824,Charlotte,Utah,240,94,106,B2B,1
21700825,Portland,Sacramento,240,118,100,B2B,3+
21700826,New Orleans,Brooklyn,290,138,128,B2B,2
21700827,Milwaukee,Orlando,240,111,104,B2B,1
21700828,LA Clippers,Philadelphia,240,98,112,B2B,B2B
21700829,Washington,Chicago,240,101,90,1,B2B
21700830,LA Lakers,Dallas,240,123,130,1,1
21700831,San Antonio,Golden State,240,105,122,2,1
21700832,Denver,Phoenix,240,123,113,B2B,2
21700833,Toronto,Charlotte,240,123,103,2,3IN4
21700834,Detroit,Atlanta,240,115,118,1,3IN4
21700835,Cleveland,Boston,240,121,99,1,3IN4
21700836,New York,Indiana,240,113,121,2,1
21700837,Dallas,Houston,240,97,104,3IN4-B2B,1
21700838,Sacramento,Minnesota,240,106,111,1,1
21700839,Memphis,Oklahoma City,240,92,110,3+,2
21700840,Utah,Portland,240,115,96,1,3IN4
21700841,New Orleans,Detroit,240,118,103,3IN4,3IN4-B2B
21700842,New York,Philadelphia,240,92,108,B2B,3IN4
21700843,LA Clippers,Brooklyn,240,114,101,3IN4,1
21700844,Orlando,Chicago,240,101,105,1,3IN4
21700845,San Antonio,Utah,240,99,101,1,3IN4-B2B
21700846,Phoenix,Golden State,240,83,129,1,1
21700847,Miami,Toronto,240,112,115,3+,1
21700848,Atlanta,Milwaukee,240,92,97,1,2
21700849,Houston,Minnesota,240,126,108,1,1
21700850,Cleveland,Oklahoma City,240,120,112,1,1
21700851,Sacramento,Dallas,240,114,109,1,3IN4
21700852,San Antonio,Denver,240,109,117,3IN4-B2B,2
21700853,Atlanta,Detroit,240,98,104,3IN4-B2B,3IN4
21700854,Charlotte,Orlando,240,104,102,2,1
21700855,Miami,Philadelphia,240,102,104,B2B,1
21700856,Indiana,Brooklyn,240,108,103,2,1
21700857,Washington,New York,240,118,113,3+,3IN4
21700858,LA Clippers,Boston,240,129,119,1,2
21700859,Toronto,Chicago,240,122,98,3IN4-B2B,1
21700860,Sacramento,Houston,240,91,100,3IN4-B2B,3IN4-B2B
21700861,Oklahoma City,Memphis,240,121,114,3IN4-B2B,2
21700862,LA Lakers,New Orleans,240,117,139,3+,1
21700863,Phoenix,Utah,240,97,107,1,3IN4
21700864,Golden State,Portland,240,117,123,1,2
21700865,Denver,Milwaukee,240,134,123,1,1
21700866,LA Lakers,Minnesota,240,111,119,B2B,1
21700867,Brooklyn,Charlotte,240,96,111,3+,3+
21700868,New York,Orlando,240,120,113,3+,3+
21700869,Washington,Cleveland,240,110,103,3+,3+
21700870,Philadelphia,Chicago,240,116,115,3+,3+
21700871,Oklahoma City,Sacramento,240,110,107,3+,3+
21700872,LA Clippers,Golden State,240,127,134,3+,3+
21700873,Boston,Detroit,240,110,98,3+,3+
21700874,Atlanta,Indiana,240,93,116,3+,3+
21700875,Charlotte,Washington,240,122,105,B2B,B2B
21700876,Milwaukee,Toronto,265,122,119,3+,3+
21700877,Minnesota,Houston,240,102,120,3+,3+
21700878,Cleveland,Memphis,240,112,89,B2B,3+
21700879,Miami,New Orleans,265,123,124,3+,3+
21700880,San Antonio,Denver,240,119,122,3+,3+
21700881,LA Clippers,Phoenix,240,128,117,B2B,3+
21700882,Portland,Utah,240,100,81,3+,3+
21700883,Dallas,LA Lakers,240,102,124,3+,3+
21700884,Orlando,Philadelphia,240,105,116,1,1
21700885,Memphis,Miami,240,89,115,B2B,B2B
21700886,Boston,New York,240,121,112,B2B,1
21700887,Oklahoma City,Golden State,240,80,112,1,1
21700888,Chicago,Minnesota,240,104,122,1,B2B
21700889,Portland,Phoenix,240,106,104,B2B,B2B
21700890,Dallas,Utah,240,90,97,B2B,B2B
21700891,LA Lakers,Sacramento,240,113,108,B2B,1
21700892,Detroit,Charlotte,240,98,114,1,3IN4
21700893,New Orleans,Milwaukee,265,123,121,1,1
21700894,San Antonio,Cleveland,240,110,94,1,3IN4
21700895,Philadelphia,Washington,240,94,109,3IN4-B2B,3IN4
21700896,Houston,Denver,240,119,114,1,1
21700897,LA Lakers,Atlanta,240,123,104,3IN4,2
21700898,Memphis,Boston,240,98,109,3IN4,3IN4
21700899,Chicago,Brooklyn,240,87,104,1,3+
21700900,Golden State,New York,240,125,111,1,1
21700901,Detroit,Toronto,240,94,123,3IN4-B2B,2
21700902,Phoenix,New Orleans,240,116,125,3IN4,3IN4-B2B
21700903,Orlando,Oklahoma City,240,105,112,1,1
21700904,Indiana,Dallas,240,103,109,2,3IN4
21700905,Houston,Utah,240,96,85,3IN4-B2B,3IN4
21700906,Minnesota,Sacramento,240,118,100,3IN4,1
21700907,Chicago,Charlotte,240,103,118,3IN4-B2B,1
21700908,Brooklyn,Cleveland,240,123,129,B2B,1
21700909,Philadelphia,Miami,240,101,102,3IN4,2
21700910,Washington,Milwaukee,240,107,104,1,1
21700911,Sacramento,Portland,240,99,116,3IN4-B2B,2
21700912,LA Clippers,Denver,240,122,120,3+,1
21700913,Milwaukee,Detroit,240,87,110,3IN4-B2B,3IN4
21700914,Toronto,Orlando,240,117,104,1,1
21700915,Indiana,Atlanta,240,102,107,1,1
21700916,Charlotte,Boston,240,106,134,3IN4-B2B,1
21700917,Golden State,Washington,240,109,101,1,3IN4-B2B
21700918,Phoenix,Memphis,240,110,102,1,1
21700919,Oklahoma City,Dallas,265,111,110,1,1
21700920,New Orleans,San Antonio,240,121,116,3IN4,2
21700921,Houston,LA Clippers,240,105,92,3IN4,B2B
21700922,LA Lakers,Miami,240,131,113,2,1
21700923,Philadelphia,Cleveland,240,108,97,1,1
21700924,Brooklyn,Sacramento,265,111,116,3IN4,3IN4
21700925,Minnesota,Portland,240,99,108,2,1
21700926,Detroit,Orlando,265,106,115,1,1
21700927,Charlotte,Philadelphia,240,99,110,3IN4,3IN4-B2B
21700928,Golden State,Atlanta,240,114,109,1,1
21700929,Toronto,Washington,240,102,95,1,3IN4
21700930,Dallas,Chicago,240,100,108,1,2
21700931,Denver,Memphis,240,108,102,2,1
21700932,Indiana,Milwaukee,240,103,96,1,3IN4
21700933,Oklahoma City,Phoenix,240,124,116,1,1
21700934,Minnesota,Utah,240,108,116,B2B,3+
21700935,New York,LA Clippers,240,105,128,3+,3IN4
21700936,Memphis,Orlando,240,100,107,3IN4-B2B,3IN4-B2B
21700937,Denver,Cleveland,240,126,117,B2B,1
21700938,Detroit,Miami,240,96,105,3IN4-B2B,1
21700939,Boston,Houston,240,120,123,2,2
21700940,LA Lakers,San Antonio,240,116,112,1,2
21700941,Oklahoma City,Portland,240,100,108,3IN4-B2B,1
21700942,Utah,Sacramento,240,98,91,B2B,1
21700943,Phoenix,Atlanta,240,112,113,1,1
21700944,Charlotte,Toronto,240,98,103,1,1
21700945,Indiana,Washington,240,98,95,1,1
21700946,New Orleans,Dallas,240,126,109,3+,1
21700947,Philadelphia,Milwaukee,240,110,118,3IN4,1
21700948,Brooklyn,LA Clippers,240,120,123,2,1
21700949,New York,Sacramento,240,99,102,1,3IN4-B2B
21700950,Detroit,Cleveland,240,90,112,3IN4,1
21700951,Milwaukee,Indiana,240,89,92,3IN4-B2B,3IN4-B2B
21700952,Phoenix,Miami,240,103,125,3IN4-B2B,1
21700953,Boston,Chicago,240,105,89,1,2
21700954,Memphis,San Antonio,240,98,100,3IN4,1
21700955,Orlando,Utah,240,80,94,3IN4,3IN4
21700956,Portland,LA Lakers,240,108,103,1,1
21700957,Philadelphia,Charlotte,240,128,114,1,1
21700958,Atlanta,Toronto,240,90,106,1,1
21700959,Miami,Washington,265,113,117,3IN4-B2B,1
21700960,Houston,Oklahoma City,240,122,112,2,2
21700961,Denver,Dallas,240,107,118,2,1
21700962,New York,Portland,240,87,111,1,3IN4-B2B
21700963,Brooklyn,Golden State,240,101,114,1,3+
21700964,New Orleans,LA Clippers,240,121,116,1,1
21700965,Utah,Indiana,240,104,84,1,3IN4
21700966,Toronto,Detroit,265,121,119,3IN4-B2B,1
21700967,Memphis,Chicago,240,110,119,1,1
21700968,Houston,Milwaukee,240,110,99,B2B,3IN4
21700969,New Orleans,Sacramento,240,114,101,3IN4-B2B,2
21700970,Cleveland,Denver,240,113,108,1,B2B
21700971,Orlando,LA Lakers,240,107,108,1,1
21700972,Brooklyn,Charlotte,240,125,111,1,1
21700973,Philadelphia,Miami,240,99,108,1,3IN4
21700974,Boston,Minnesota,240,117,109,2,3+
21700975,Phoenix,Oklahoma City,240,87,115,2,1
21700976,San Antonio,Golden State,240,107,110,2,1
21700977,Chicago,Detroit,240,83,99,1,1
21700978,Atlanta,Indiana,240,87,112,2,1
21700979,Houston,Toronto,240,105,108,3IN4,3IN4
21700980,Utah,Memphis,240,95,78,1,1
21700981,New York,Milwaukee,240,112,120,2,1
21700982,Washington,New Orleans,240,116,97,2,3IN4
21700983,LA Lakers,Denver,240,116,125,1,3IN4
21700984,Golden State,Portland,240,108,125,3IN4-B2B,2
21700985,Orlando,Sacramento,240,88,94,1,1
21700986,Cleveland,LA Clippers,240,102,116,1,2
21700987,Phoenix,Charlotte,240,115,122,1,1
21700988,Washington,Miami,240,102,129,B2B,1
21700989,Memphis,Dallas,240,80,114,3IN4-B2B,3+
21700990,San Antonio,Oklahoma City,240,94,104,1,1
21700991,Orlando,LA Clippers,240,105,113,3IN4-B2B,B2B
21700992,Toronto,New York,240,132,106,1,1
21700993,Chicago,Atlanta,240,129,122,1,1
21700994,Golden State,Minnesota,240,103,109,3IN4,2
21700995,Utah,New Orleans,240,116,99,1,1
21700996,Sacramento,Denver,240,104,130,1,1
21700997,Houston,Dallas,240,105,82,1,B2B
21700998,Indiana,Boston,240,99,97,1,2
21700999,Philadelphia,Brooklyn,240,120,97,2,2
21701000,Cleveland,LA Lakers,240,113,127,1,1
21701001,San Antonio,Houston,240,93,109,1,3IN4-B2B
21701002,Milwaukee,Memphis,240,121,103,2,3IN4
21701003,Sacramento,Oklahoma City,240,101,106,3IN4-B2B,1
21701004,Miami,Portland,240,99,115,1,2
21701005,Indiana,Philadelphia,240,101,98,1,1
