id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21700115,Portland,Utah,265,103,112,1,1
21700116,Dallas,LA Clippers,240,98,119,1,1
21700117,Golden State,San Antonio,240,112,92,2,2
21700118,LA Lakers,Portland,240,110,113,1,3IN4-B2B
21700119,Milwaukee,Detroit,240,96,105,3IN4,2
21700120,Chicago,Orlando,240,105,83,1,1
21700121,Indiana,Philadelphia,240,110,121,3IN4,1
21700122,Cleveland,Washington,240,130,122,1,1
21700123,Houston,Atlanta,240,119,104,1,1
21700124,Phoenix,New York,240,107,120,3IN4,1
21700125,New Orleans,Dallas,240,99,94,1,1
21700126,Charlotte,San Antonio,240,101,108,1,B2B
21700127,Miami,Denver,240,94,95,1,1
21700128,Toronto,Utah,240,109,100,1,1
21700129,Boston,Oklahoma City,240,101,94,1,2
21700130,Brooklyn,LA Lakers,240,112,124,2,3IN4-B2B
21700131,Memphis,LA Clippers,240,113,104,2,2
21700132,Sacramento,Detroit,240,99,108,2,B2B
21700133,New Orleans,Chicago,265,96,90,3IN4-B2B,3IN4-B2B
21700134,Dallas,Minnesota,240,99,112,3IN4-B2B,2
21700135,Golden State,Denver,240,127,108,1,3IN4-B2B
21700136,Atlanta,Cleveland,240,117,115,1,1
21700137,Miami,LA Clippers,240,104,101,1,B2B
21700138,Boston,Orlando,240,104,88,1,1
21700139,Washington,Toronto,240,107,96,1,1
21700140,Utah,Houston,240,110,137,1,1
21700141,Phoenix,San Antonio,240,95,112,1,3IN4
21700142,Indiana,New York,240,101,108,1,1
21700143,Charlotte,Minnesota,240,94,112,1,B2B
21700144,Oklahoma City,Portland,240,99,103,1,2
21700145,Memphis,LA Lakers,240,102,107,B2B,3IN4
21700146,Boston,Atlanta,240,110,107,3IN4-B2B,3IN4-B2B
21700147,Brooklyn,Phoenix,240,98,92,2,3IN4-B2B
21700148,Miami,Golden State,240,80,97,3IN4-B2B,1
21700149,Milwaukee,Cleveland,240,119,124,3+,1
21700150,New Orleans,Indiana,240,117,112,2,1
21700151,Dallas,Washington,240,113,99,2,1
21700152,Charlotte,New York,240,113,118,1,1
21700153,Chicago,Toronto,240,114,119,2,1
21700154,LA Clippers,San Antonio,240,107,120,3IN4,1
21700155,Brooklyn,Denver,240,104,112,B2B,2
21700156,Philadelphia,Utah,240,104,97,3+,1
21700157,Memphis,Portland,240,98,97,3IN4,1
21700158,Oklahoma City,Sacramento,240,86,94,1,2
21700159,Indiana,Detroit,240,97,114,3IN4-B2B,3+
21700160,New York,Orlando,240,99,112,3IN4-B2B,2
21700161,LA Lakers,Boston,240,96,107,2,3IN4
21700162,Miami,Phoenix,240,126,115,3IN4,3IN4
21700163,Minnesota,Golden State,240,101,125,2,1
21700164,LA Lakers,Washington,240,95,111,B2B,1
21700165,New Orleans,Toronto,240,118,122,1,1
21700166,Cleveland,Houston,240,113,117,1,3+
21700167,Philadelphia,Sacramento,240,108,109,1,1
21700168,Oklahoma City,Denver,240,94,102,1,1
21700169,Atlanta,Detroit,240,104,111,3+,1
21700170,Charlotte,Boston,240,87,90,2,1
21700171,Indiana,Chicago,240,105,87,3IN4,2
21700172,LA Clippers,Oklahoma City,240,111,120,2,3IN4-B2B
21700173,Milwaukee,San Antonio,240,94,87,2,2
21700174,Orlando,Phoenix,240,128,112,1,1
21700175,Miami,Utah,240,84,74,1,2
21700176,Brooklyn,Portland,240,101,97,2,2
21700177,Atlanta,Washington,240,94,113,B2B,1
21700178,LA Clippers,New Orleans,240,103,111,B2B,1
21700179,Sacramento,New York,240,91,118,1,2
21700180,Memphis,Houston,240,96,111,3+,1
21700181,Cleveland,Dallas,240,111,104,1,3+
21700182,LA Lakers,Milwaukee,240,90,98,3IN4,B2B
21700183,Chicago,San Antonio,240,94,133,B2B,B2B
21700184,Philadelphia,Golden State,240,114,135,1,2
21700185,Orlando,Denver,240,107,125,3IN4-B2B,1
21700186,Minnesota,Phoenix,240,110,118,2,3IN4-B2B
21700187,Brooklyn,Utah,239.33,106,114,B2B,B2B
21700188,Toronto,Boston,240,94,95,2,1
21700189,Miami,Detroit,240,103,112,1,1
21700190,Houston,Indiana,240,118,95,3IN4-B2B,1
21700191,Dallas,Oklahoma City,240,99,112,B2B,3IN4
21700192,Sacramento,Washington,240,92,110,1,1
21700193,Cleveland,New York,240,104,101,1,1
21700194,Memphis,Milwaukee,240,103,110,1,3IN4
