DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
2017-2018 Regular Season,0021700053,10/24/17,10:00 PM,New Orleans,Portland,240,93,103,1,2,Box Score
2017-2018 Regular Season,0021700054,10/24/17,10:30 PM,Utah,LA Clippers,240,84,102,2,2,Box Score
2017-2018 Regular Season,0021700055,10/25/17,7:00 PM,Denver,Charlotte,240,93,110,1,1,Box Score
2017-2018 Regular Season,0021700056,10/25/17,7:00 PM,Minnesota,Detroit,240,101,122,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700057,10/25/17,7:00 PM,Houston,Philadelphia,240,105,104,1,1,Box Score
2017-2018 Regular Season,0021700058,10/25/17,7:30 PM,Cleveland,Brooklyn,240,107,112,B2B,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700059,10/25/17,8:00 PM,San Antonio,Miami,240,117,100,1,1,Box Score
2017-2018 Regular Season,0021700060,10/25/17,8:00 PM,Indiana,Oklahoma City,240,96,114,B2B,2,Box Score
2017-2018 Regular Season,0021700061,10/25/17,8:30 PM,Memphis,Dallas,240,94,103,1,1,Box Score
2017-2018 Regular Season,0021700062,10/25/17,10:00 PM,Utah,Phoenix,240,88,97,B2B,1,Box Score
2017-2018 Regular Season,0021700063,10/25/17,10:30 PM,Toronto,Golden State,240,112,117,1,1,Box Score
2017-2018 Regular Season,0021700064,10/25/17,10:30 PM,Washington,LA Lakers,265,99,102,1,2,Box Score
2017-2018 Regular Season,0021700065,10/26/17,8:00 PM,Atlanta,Chicago,240,86,91,2,1,Box Score
2017-2018 Regular Season,0021700066,10/26/17,8:00 PM,Dallas,Memphis,240,91,96,3IN4-B2B,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700067,10/26/17,8:00 PM,Boston,Milwaukee,240,96,89,1,2,Box Score
2017-2018 Regular Season,0021700068,10/26/17,10:00 PM,LA Clippers,Portland,240,104,103,1,1,Box Score
2017-2018 Regular Season,0021700069,10/26/17,10:30 PM,New Orleans,Sacramento,240,114,106,1,2,Box Score
2017-2018 Regular Season,0021700070,10/27/17,7:00 PM,Houston,Charlotte,240,109,93,1,1,Box Score
2017-2018 Regular Season,0021700071,10/27/17,7:00 PM,San Antonio,Orlando,240,87,114,1,2,Box Score
2017-2018 Regular Season,0021700072,10/27/17,7:30 PM,Denver,Atlanta,240,105,100,1,B2B,Box Score
2017-2018 Regular Season,0021700073,10/27/17,7:30 PM,Brooklyn,New York,240,86,107,3IN4,2,Box Score
2017-2018 Regular Season,0021700074,10/27/17,8:00 PM,Oklahoma City,Minnesota,240,116,119,1,3IN4,Box Score
2017-2018 Regular Season,0021700075,10/27/17,10:30 PM,Washington,Golden State,240,117,120,1,1,Box Score
2017-2018 Regular Season,0021700076,10/27/17,10:30 PM,Toronto,LA Lakers,240,101,92,1,1,Box Score
2017-2018 Regular Season,0021700077,10/28/17,7:00 PM,Cleveland,New Orleans,240,101,123,2,1,Box Score
2017-2018 Regular Season,0021700078,10/28/17,8:00 PM,Boston,Miami,240,96,90,1,2,Box Score
2017-2018 Regular Season,0021700079,10/28/17,8:00 PM,Oklahoma City,Chicago,240,101,69,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700080,10/28/17,8:00 PM,Houston,Memphis,240,89,103,3IN4-B2B,3IN4,Box Score
2017-2018 Regular Season,0021700081,10/28/17,8:30 PM,Philadelphia,Dallas,240,112,110,2,3IN4,Box Score
2017-2018 Regular Season,0021700082,10/28/17,9:00 PM,LA Lakers,Utah,240,81,96,3IN4-B2B,2,Box Score
2017-2018 Regular Season,0021700083,10/28/17,10:00 PM,Phoenix,Portland,240,107,114,2,1,Box Score
2017-2018 Regular Season,0021700084,10/28/17,10:30 PM,Detroit,LA Clippers,240,95,87,2,1,Box Score
2017-2018 Regular Season,0021700085,10/29/17,3:30 PM,Milwaukee,Atlanta,240,117,106,2,3IN4,Box Score
2017-2018 Regular Season,0021700086,10/29/17,4:30 PM,San Antonio,Indiana,240,94,97,1,3+,Box Score
2017-2018 Regular Season,0021700087,10/29/17,6:00 PM,Denver,Brooklyn,240,124,111,1,1,Box Score
2017-2018 Regular Season,0021700088,10/29/17,6:00 PM,Orlando,Charlotte,240,113,120,1,1,Box Score
2017-2018 Regular Season,0021700089,10/29/17,6:00 PM,Washington,Sacramento,240,110,83,1,2,Box Score
2017-2018 Regular Season,0021700090,10/29/17,7:00 PM,New York,Cleveland,240,114,95,1,B2B,Box Score
2017-2018 Regular Season,0021700091,10/29/17,8:30 PM,Detroit,Golden State,240,115,107,B2B,1,Box Score
2017-2018 Regular Season,0021700092,10/30/17,7:30 PM,San Antonio,Boston,240,94,108,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700093,10/30/17,7:30 PM,Minnesota,Miami,265,125,122,2,1,Box Score
2017-2018 Regular Season,0021700094,10/30/17,7:30 PM,Denver,New York,240,110,116,3IN4-B2B,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700095,10/30/17,8:00 PM,Philadelphia,Houston,240,115,107,1,3IN4,Box Score
2017-2018 Regular Season,0021700096,10/30/17,8:00 PM,Charlotte,Memphis,240,104,99,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700097,10/30/17,8:00 PM,Orlando,New Orleans,240,115,99,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700098,10/30/17,9:00 PM,Dallas,Utah,240,89,104,1,1,Box Score
2017-2018 Regular Season,0021700099,10/30/17,10:00 PM,Toronto,Portland,240,99,85,2,1,Box Score
2017-2018 Regular Season,0021700100,10/30/17,10:30 PM,Golden State,LA Clippers,240,141,113,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700101,10/31/17,7:00 PM,Sacramento,Indiana,240,83,101,1,1,Box Score
2017-2018 Regular Season,0021700102,10/31/17,7:30 PM,Phoenix,Brooklyn,240,122,114,2,1,Box Score
2017-2018 Regular Season,0021700103,10/31/17,8:00 PM,Oklahoma City,Milwaukee,240,110,91,2,1,Box Score
2017-2018 Regular Season,0021700104,10/31/17,10:30 PM,Detroit,LA Lakers,240,93,113,3IN4,2,Box Score
2017-2018 Regular Season,0021700105,11/1/17,7:00 PM,Milwaukee,Charlotte,240,121,126,3IN4-B2B,3IN4,Box Score
2017-2018 Regular Season,0021700106,11/1/17,7:00 PM,Indiana,Cleveland,240,124,107,3IN4-B2B,2,Box Score
2017-2018 Regular Season,0021700107,11/1/17,7:00 PM,Atlanta,Philadelphia,240,109,119,2,1,Box Score
2017-2018 Regular Season,0021700108,11/1/17,7:00 PM,Phoenix,Washington,240,122,116,B2B,2,Box Score
2017-2018 Regular Season,0021700109,11/1/17,7:30 PM,Sacramento,Boston,240,86,113,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700110,11/1/17,7:30 PM,Chicago,Miami,240,91,97,3+,1,Box Score
2017-2018 Regular Season,0021700111,11/1/17,8:00 PM,Houston,New York,240,119,97,1,3IN4,Box Score
2017-2018 Regular Season,0021700112,11/1/17,8:00 PM,Orlando,Memphis,240,101,99,3IN4,1,Box Score
2017-2018 Regular Season,0021700113,11/1/17,8:00 PM,Minnesota,New Orleans,240,104,98,1,1,Box Score
2017-2018 Regular Season,0021700114,11/1/17,9:00 PM,Toronto,Denver,240,111,129,1,3IN4,Box Score
2017-2018 Regular Season,0021700115,11/1/17,9:00 PM,Portland,Utah,265,103,112,1,1,Box Score
2017-2018 Regular Season,0021700116,11/1/17,10:30 PM,Dallas,LA Clippers,240,98,119,1,1,Box Score
2017-2018 Regular Season,0021700117,11/2/17,8:00 PM,Golden State,San Antonio,240,112,92,2,2,Box Score
2017-2018 Regular Season,0021700118,11/2/17,10:30 PM,LA Lakers,Portland,240,110,113,1,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700119,11/3/17,7:00 PM,Milwaukee,Detroit,240,96,105,3IN4,2,Box Score
2017-2018 Regular Season,0021700120,11/3/17,7:00 PM,Chicago,Orlando,240,105,83,1,1,Box Score
2017-2018 Regular Season,0021700121,11/3/17,7:00 PM,Indiana,Philadelphia,240,110,121,3IN4,1,Box Score
2017-2018 Regular Season,0021700122,11/3/17,7:00 PM,Cleveland,Washington,240,130,122,1,1,Box Score
2017-2018 Regular Season,0021700123,11/3/17,7:30 PM,Houston,Atlanta,240,119,104,1,1,Box Score
2017-2018 Regular Season,0021700124,11/3/17,7:30 PM,Phoenix,New York,240,107,120,3IN4,1,Box Score
2017-2018 Regular Season,0021700125,11/3/17,8:30 PM,New Orleans,Dallas,240,99,94,1,1,Box Score
2017-2018 Regular Season,0021700126,11/3/17,8:30 PM,Charlotte,San Antonio,240,101,108,1,B2B,Box Score
2017-2018 Regular Season,0021700127,11/3/17,9:00 PM,Miami,Denver,240,94,95,1,1,Box Score
2017-2018 Regular Season,0021700128,11/3/17,9:00 PM,Toronto,Utah,240,109,100,1,1,Box Score
2017-2018 Regular Season,0021700129,11/3/17,9:30 PM,Boston,Oklahoma City,240,101,94,1,2,Box Score
2017-2018 Regular Season,0021700130,11/3/17,10:30 PM,Brooklyn,LA Lakers,240,112,124,2,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700131,11/4/17,3:30 PM,Memphis,LA Clippers,240,113,104,2,2,Box Score
2017-2018 Regular Season,0021700132,11/4/17,7:00 PM,Sacramento,Detroit,240,99,108,2,B2B,Box Score
2017-2018 Regular Season,0021700133,11/4/17,8:00 PM,New Orleans,Chicago,265,96,90,3IN4-B2B,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700134,11/4/17,8:00 PM,Dallas,Minnesota,240,99,112,3IN4-B2B,2,Box Score
2017-2018 Regular Season,0021700135,11/4/17,9:00 PM,Golden State,Denver,240,127,108,1,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700136,11/5/17,3:00 PM,Atlanta,Cleveland,240,117,115,1,1,Box Score
2017-2018 Regular Season,0021700137,11/5/17,3:30 PM,Miami,LA Clippers,240,104,101,1,B2B,Box Score
2017-2018 Regular Season,0021700138,11/5/17,6:00 PM,Boston,Orlando,240,104,88,1,1,Box Score
2017-2018 Regular Season,0021700139,11/5/17,6:00 PM,Washington,Toronto,240,107,96,1,1,Box Score
2017-2018 Regular Season,0021700140,11/5/17,7:00 PM,Utah,Houston,240,110,137,1,1,Box Score
2017-2018 Regular Season,0021700141,11/5/17,7:00 PM,Phoenix,San Antonio,240,95,112,1,3IN4,Box Score
2017-2018 Regular Season,0021700142,11/5/17,7:30 PM,Indiana,New York,240,101,108,1,1,Box Score
2017-2018 Regular Season,0021700143,11/5/17,8:00 PM,Charlotte,Minnesota,240,94,112,1,B2B,Box Score
2017-2018 Regular Season,0021700144,11/5/17,9:00 PM,Oklahoma City,Portland,240,99,103,1,2,Box Score
2017-2018 Regular Season,0021700145,11/5/17,9:30 PM,Memphis,LA Lakers,240,102,107,B2B,3IN4,Box Score
2017-2018 Regular Season,0021700146,11/6/17,7:30 PM,Boston,Atlanta,240,110,107,3IN4-B2B,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700147,11/6/17,9:00 PM,Brooklyn,Phoenix,240,98,92,2,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700148,11/6/17,10:30 PM,Miami,Golden State,240,80,97,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700149,11/7/17,7:00 PM,Milwaukee,Cleveland,240,119,124,3+,1,Box Score
2017-2018 Regular Season,0021700150,11/7/17,7:00 PM,New Orleans,Indiana,240,117,112,2,1,Box Score
2017-2018 Regular Season,0021700151,11/7/17,7:00 PM,Dallas,Washington,240,113,99,2,1,Box Score
2017-2018 Regular Season,0021700152,11/7/17,7:30 PM,Charlotte,New York,240,113,118,1,1,Box Score
2017-2018 Regular Season,0021700153,11/7/17,7:30 PM,Chicago,Toronto,240,114,119,2,1,Box Score
2017-2018 Regular Season,0021700154,11/7/17,8:30 PM,LA Clippers,San Antonio,240,107,120,3IN4,1,Box Score
2017-2018 Regular Season,0021700155,11/7/17,9:00 PM,Brooklyn,Denver,240,104,112,B2B,2,Box Score
2017-2018 Regular Season,0021700156,11/7/17,9:00 PM,Philadelphia,Utah,240,104,97,3+,1,Box Score
2017-2018 Regular Season,0021700157,11/7/17,10:00 PM,Memphis,Portland,240,98,97,3IN4,1,Box Score
2017-2018 Regular Season,0021700158,11/7/17,10:00 PM,Oklahoma City,Sacramento,240,86,94,1,2,Box Score
